tab	measurements
measurement	experiment	specimen	dir_csd	dir_dec	dir_inc	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp	citations	instrument_codes	method_codes	quality	sequence	standard	meas_n_orient	meas_temp	analysts	description	software_packages	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma	sample	site	location
SS20-1a_LP-DIR-T-17	SS20-1a_LP-DIR-T	SS20-1a	1.3	175.4	10.7	0	0	0.0	0.0	16	823.0	This study	hargrave 2016-03-29 16:02:04	LT-T-Z:LP-DIR-T	g	17	u	8	273			pmagpy-4.2.109	1.93e-08	7.59e-09	1.54e-09	5.42e-09	SS20-1	SS20	Michipicoten Island
SS20-1a_LP-DIR-T-18	SS20-1a_LP-DIR-T	SS20-1a	2.2	209.3	19.6	0	0	0.0	0.0	17	833.0	This study	hargrave 2016-03-30 13:18:42	LT-T-Z:LP-DIR-T	g	18	u	8	273			pmagpy-4.2.109	8.53e-09	7.07e-09	1.54e-09	2.3e-09	SS20-1	SS20	Michipicoten Island
SS20-1a_LP-DIR-T-19	SS20-1a_LP-DIR-T	SS20-1a	4.3	117.4	15.3	0	0	0.0	0.0	18	843.0	This study	hargrave 2016-04-04 14:55:45	LT-T-Z:LP-DIR-T	g	19	u	8	273			pmagpy-4.2.109	2.85e-09	5.68e-09	8.18e-09	4.44e-09	SS20-1	SS20	Michipicoten Island
SS20-1a_LP-DIR-T-20	SS20-1a_LP-DIR-T	SS20-1a	3.7	128.7	-13.3	0	0	0.0	0.0	19	848.0	This study	hargrave 2016-04-05 12:19:16	LT-T-Z:LP-DIR-T	g	20	u	8	273			pmagpy-4.2.109	4.12e-09	4.83e-09	1e-08	1.48e-09	SS20-1	SS20	Michipicoten Island
SS20-1a_LP-DIR-T-21	SS20-1a_LP-DIR-T	SS20-1a	14.3	194.9	67.9	0	0	0.0	0.0	20	853.0	This study	hargrave 2016-04-05 19:57:15	LT-T-Z:LP-DIR-T	g	21	u	8	273			pmagpy-4.2.109	1.96e-09	3.48e-09	6.55e-09	4.45e-09	SS20-1	SS20	Michipicoten Island
SS20-2a_LP-DIR-T-22	SS20-2a_LP-DIR-T	SS20-2a	4.1	233.4	39.6	0	0	0.0	0.0	0	273.0	This study	hargrave 2016-02-18 11:27:41	LT-NO:LP-DIR-T	g	22	u	8	273			pmagpy-4.2.109	3.07e-07	2.37e-07	1.39e-07	4.31e-08	SS20-2	SS20	Michipicoten Island
SS20-2a_LP-DIR-T-23	SS20-2a_LP-DIR-T	SS20-2a	2.7	249.4	32.4	0	0	0.0	0.0	1	77.0	This study	hargrave 2016-02-21 12:29:58	LT-LT-Z:LP-DIR-T	g	23	u	8	273			pmagpy-4.2.109	2.22e-07	1.21e-07	4.3e-08	3.79e-08	SS20-2	SS20	Michipicoten Island
SS20-2a_LP-DIR-T-24	SS20-2a_LP-DIR-T	SS20-2a	2.8	249.9	29.0	0	0	0.0	0.0	2	373.0	This study	hargrave 2016-02-22 19:46:53	LT-T-Z:LP-DIR-T	g	24	u	8	273			pmagpy-4.2.109	2e-07	1.19e-07	2.9e-08	2.18e-08	SS20-2	SS20	Michipicoten Island
SS20-2a_LP-DIR-T-25	SS20-2a_LP-DIR-T	SS20-2a	2.1	252.0	21.7	0	0	0.0	0.0	3	473.0	This study	hargrave 2016-02-23 19:34:11	LT-T-Z:LP-DIR-T	g	25	u	8	273			pmagpy-4.2.109	1.69e-07	7.42e-08	2.17e-08	2.04e-08	SS20-2	SS20	Michipicoten Island
SS20-2a_LP-DIR-T-26	SS20-2a_LP-DIR-T	SS20-2a	2.9	248.6	17.5	0	0	0.0	0.0	4	573.0	This study	hargrave 2016-02-27 17:43:12	LT-T-Z:LP-DIR-T	g	26	u	8	273			pmagpy-4.2.109	1.55e-07	9.09e-08	3.31e-08	1.73e-08	SS20-2	SS20	Michipicoten Island
