tab	specimens
specimen	sample	analysts	citations	method_codes	volume	weight
SS20-1a	SS20-1		This study	LP-NOMAG		
SS20-2a	SS20-2		This study	LP-NOMAG		
SS20-3a	SS20-3		This study	LP-NOMAG		
SS20-4a	SS20-4		This study	LP-NOMAG		
SS20-5a	SS20-5		This study	LP-NOMAG		
SS20-6a	SS20-6		This study	LP-NOMAG		
SS20-7a	SS20-7		This study	LP-NOMAG		
SS20-8a	SS20-8		This study	LP-NOMAG		
